# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCats=EBlowR9,EBhighR9,EElowR9,EEhighR9

# photonCat       mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
EElowR9smear        0.0000     0.0023     0.0000    
EEhighR9scale       0.0019     0.0104     0.0019    
EEhighR9smear       0.0000     0.0523     0.0000    

diphotonCat=9
proc=tth
EBlowR9scale        0.0009     0.0088     0.0026    
EBlowR9smear        0.0001     0.0214     0.0046    
EBhighR9scale       0.0015     0.0181     0.0027    
EBhighR9smear       0.0001     0.0342     0.0000    
EElowR9scale        0.0002     0.0098     0.0045    
EElowR9smear        0.0002     0.0061     0.0023    
EEhighR9scale       0.0010     0.0408     0.0024    
EEhighR9smear       0.0001     0.0602     0.0024    

diphotonCat=10
proc=ggh
EBlowR9scale        0.0006     0.0649     0.0000    
EBlowR9smear        0.0003     0.0458     0.0000    
EBhighR9scale       0.0020     0.1876     0.0000    
EBhighR9smear       0.0001     0.0864     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=10
proc=vbf
EBlowR9scale        0.0011     0.0297     0.0082    
EBlowR9smear        0.0001     0.0747     0.0082    
EBhighR9scale       0.0017     0.0598     0.0000    
EBhighR9smear       0.0002     0.0451     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=10
proc=wh
EBlowR9scale        0.0009     0.0094     0.0002    
EBlowR9smear        0.0000     0.0396     0.0007    
EBhighR9scale       0.0017     0.0077     0.0013    
EBhighR9smear       0.0001     0.0758     0.0018    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=10
proc=zh
EBlowR9scale        0.0011     0.0170     0.0008    
EBlowR9smear        0.0001     0.0465     0.0003    
EBhighR9scale       0.0018     0.0212     0.0007    
EBhighR9smear       0.0000     0.0539     0.0007    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=10
proc=tth
EBlowR9scale        0.0009     0.0027     0.0007    
EBlowR9smear        0.0001     0.0543     0.0003    
EBhighR9scale       0.0018     0.0175     0.0006    
EBhighR9smear       0.0000     0.0913     0.0005    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=11
proc=ggh
EBlowR9scale        0.0000     0.0000     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0000     0.0000     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=11
proc=vbf
EBlowR9scale        0.0000     0.0000     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0000     0.0000     0.0000    
EBhighR9smear       0.0000     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0000     0.0000     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=11
proc=wh
EBlowR9scale        0.0001     0.0000     0.0000    
EBlowR9smear        0.0000     0.0000     0.0000    
EBhighR9scale       0.0028     0.1659     0.0000    
EBhighR9smear       0.0005     0.0704     0.0001    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
